epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1792.77,1.11842,1.50098,1.2035,0.12452,0.18067,0.1237,0.075,1.50499,4.84729,1.88301,0.000571854,0.000571854,0.000571854
59,1817.23,1.0567,1.50173,1.17031,0.31602,0.16883,0.12075,0.08588,1.35906,4.63264,1.66844,0.000567273,0.000567273,0.000567273
60,1842.52,1.09601,1.4533,1.19219,0.14398,0.28395,0.13461,0.09576,1.36803,6.23662,1.59911,0.000562692,0.000562692,0.000562692
61,1866.19,1.0453,1.41293,1.18037,0.20804,0.18996,0.17854,0.12632,1.33929,4.20531,1.60372,0.00055811,0.00055811,0.00055811
62,1890.07,1.09471,1.51314,1.19192,0.18783,0.13765,0.12411,0.08526,1.43089,5.87209,1.64665,0.000553528,0.000553528,0.000553528
63,1912.58,1.04305,1.53206,1.17616,0.25159,0.1236,0.11157,0.08614,1.33786,4.72973,1.61628,0.000548947,0.000548947,0.000548947
64,1937.63,1.04909,1.48221,1.20051,0.25384,0.17003,0.17858,0.13344,1.33477,4.58462,1.56108,0.000544365,0.000544365,0.000544365
65,1961.64,1.02908,1.49201,1.18553,0.20279,0.2729,0.17693,0.1332,1.25272,4.64131,1.50276,0.000539784,0.000539784,0.000539784
66,1984.47,1.04925,1.44483,1.17413,0.15549,0.2223,0.12389,0.09139,1.32621,4.47618,1.59216,0.000535202,0.000535202,0.000535202
67,2008.86,1.03886,1.35512,1.16448,0.10561,0.27755,0.11341,0.08389,1.32619,4.41716,1.60599,0.000530621,0.000530621,0.000530621
68,2031.62,0.96453,1.30759,1.13921,0.21182,0.18659,0.16547,0.12583,1.41254,4.18087,1.75678,0.000526039,0.000526039,0.000526039
69,2055.01,0.97674,1.36376,1.15049,0.11834,0.15621,0.10921,0.07719,1.44035,5.53917,1.69091,0.000521458,0.000521458,0.000521458
70,2078.56,1.04941,1.41551,1.17218,0.09677,0.17527,0.10089,0.07341,1.40234,4.52195,1.68159,0.000516877,0.000516877,0.000516877
71,2101.93,1.01561,1.35014,1.13961,0.16743,0.18554,0.1482,0.10694,1.42122,5.1759,1.67103,0.000512295,0.000512295,0.000512295
72,2127.02,1.02916,1.30922,1.15407,0.11108,0.15991,0.11574,0.08566,1.44953,4.6978,1.66863,0.000507713,0.000507713,0.000507713
73,2152.36,1.00554,1.33045,1.15539,0.17106,0.19442,0.13821,0.09703,1.48164,4.99003,1.67871,0.000503132,0.000503132,0.000503132
74,2176.87,0.93761,1.31313,1.11737,0.16048,0.19542,0.14661,0.10932,1.39483,4.82104,1.60769,0.000498551,0.000498551,0.000498551
75,2201.45,1.01907,1.34069,1.15791,0.08232,0.20197,0.12244,0.09302,1.46246,5.13067,1.71385,0.000493969,0.000493969,0.000493969
76,2224.42,1.04248,1.30528,1.16855,0.18475,0.18698,0.15569,0.10695,1.37797,5.10687,1.62605,0.000489387,0.000489387,0.000489387
77,2249.76,0.97878,1.25771,1.15233,0.16786,0.17166,0.12197,0.08229,1.35846,4.03792,1.63328,0.000484806,0.000484806,0.000484806
78,2274.85,0.99404,1.25029,1.1442,0.17048,0.23603,0.12444,0.09721,1.35133,4.74608,1.61277,0.000480224,0.000480224,0.000480224
79,2299.12,0.96711,1.27759,1.15752,0.1732,0.2084,0.1393,0.10032,1.37965,5.05652,1.65827,0.000475643,0.000475643,0.000475643
80,2323.6,0.96745,1.19524,1.13229,0.24667,0.13436,0.16201,0.12195,1.35651,4.68126,1.56688,0.000471062,0.000471062,0.000471062
81,2346.55,0.96118,1.19238,1.119,0.19394,0.15723,0.14097,0.10285,1.34714,5.84972,1.60042,0.00046648,0.00046648,0.00046648
82,2371.45,0.97279,1.18061,1.11615,0.14358,0.2326,0.1268,0.0932,1.41416,5.72043,1.64357,0.000461898,0.000461898,0.000461898
83,2399.51,0.91032,1.14383,1.09669,0.15968,0.16427,0.12726,0.10116,1.35443,4.24172,1.61066,0.000457317,0.000457317,0.000457317
84,2423.45,0.94519,1.13782,1.11669,0.15695,0.1942,0.14258,0.11272,1.33542,4.8269,1.59507,0.000452735,0.000452735,0.000452735
85,2446.31,0.96389,1.15197,1.12331,0.17823,0.21447,0.17551,0.12495,1.30081,4.85281,1.52981,0.000448154,0.000448154,0.000448154
86,2469.65,1.00041,1.19101,1.14095,0.19843,0.21254,0.16348,0.12295,1.37553,4.80781,1.65208,0.000443572,0.000443572,0.000443572
87,2493.35,0.93798,1.15081,1.12638,0.15207,0.21805,0.13404,0.10542,1.37861,5.15324,1.6393,0.000438991,0.000438991,0.000438991
88,2515.85,0.93236,1.12884,1.12781,0.15562,0.24743,0.13555,0.10878,1.30215,4.71317,1.56107,0.000434409,0.000434409,0.000434409
89,2541.28,0.97287,1.19065,1.12962,0.19436,0.22515,0.14935,0.11511,1.26849,4.89411,1.54759,0.000429828,0.000429828,0.000429828
90,2565.1,0.94133,1.10097,1.11668,0.17573,0.11338,0.11539,0.09064,1.20585,4.99462,1.49911,0.000425246,0.000425246,0.000425246
91,2589.63,0.9604,1.10684,1.10719,0.13043,0.25541,0.13676,0.10479,1.23652,4.68666,1.54356,0.000420665,0.000420665,0.000420665
92,2614.42,0.94878,1.08871,1.11644,0.18075,0.19237,0.15299,0.11399,1.39664,5.3128,1.64963,0.000416083,0.000416083,0.000416083
93,2638.39,0.93788,1.04741,1.09965,0.36383,0.19644,0.18339,0.14475,1.39155,4.471,1.63981,0.000411502,0.000411502,0.000411502
94,2660.68,0.87753,1.07579,1.09336,0.20447,0.18018,0.15187,0.11777,1.34286,4.65552,1.62847,0.00040692,0.00040692,0.00040692
95,2685,0.8984,1.02905,1.07998,0.38025,0.15665,0.14648,0.11676,1.36425,4.62875,1.57804,0.000402339,0.000402339,0.000402339
96,2707.56,0.92862,1.08368,1.09258,0.20566,0.24384,0.16185,0.12724,1.29993,5.88463,1.53439,0.000397757,0.000397757,0.000397757
97,2731.46,0.95934,1.12569,1.12539,0.16476,0.22487,0.14551,0.11737,1.33257,3.80689,1.60614,0.000393176,0.000393176,0.000393176
98,2754.36,0.93088,1.12563,1.11368,0.21982,0.15602,0.12818,0.10326,1.3957,5.94692,1.63017,0.000388595,0.000388595,0.000388595
99,2777.62,0.95055,1.08031,1.10145,0.14768,0.27591,0.14481,0.11122,1.37322,5.26394,1.62166,0.000384013,0.000384013,0.000384013
100,2804,0.93705,1.09114,1.10474,0.18487,0.21199,0.14214,0.09715,1.445,4.52859,1.72736,0.000379431,0.000379431,0.000379431
101,2828.86,0.90132,0.98277,1.07666,0.24428,0.20029,0.17109,0.12619,1.36708,4.56668,1.66208,0.00037485,0.00037485,0.00037485
102,2854.05,0.92766,1.11113,1.11953,0.177,0.24073,0.15025,0.11077,1.42013,4.44212,1.72819,0.000370268,0.000370268,0.000370268
103,2877.4,0.91864,1.08259,1.1112,0.2366,0.21187,0.14721,0.11168,1.42689,4.80224,1.71632,0.000365687,0.000365687,0.000365687
104,2901.07,0.89177,0.99805,1.07734,0.1796,0.16182,0.13398,0.10622,1.38624,5.33795,1.7154,0.000361106,0.000361106,0.000361106
105,2924.25,0.86997,0.98764,1.07502,0.14021,0.22207,0.12467,0.09756,1.38231,4.86784,1.6168,0.000356524,0.000356524,0.000356524
106,2957.57,0.88016,1.0286,1.10094,0.23427,0.17171,0.13065,0.09148,1.34653,5.04104,1.56946,0.000351942,0.000351942,0.000351942
107,2996.82,0.94287,1.03993,1.10999,0.14075,0.15189,0.09635,0.07005,1.35982,4.82017,1.62968,0.000347361,0.000347361,0.000347361
108,3035.99,0.86822,1.01238,1.0794,0.101,0.24645,0.10747,0.08024,1.31065,5.24654,1.59198,0.00034278,0.00034278,0.00034278
109,3074.53,0.86212,1.00466,1.07402,0.20082,0.19383,0.14779,0.10925,1.38043,4.3089,1.66841,0.000338198,0.000338198,0.000338198
110,3110.81,0.90031,0.99231,1.09702,0.20841,0.18764,0.16049,0.12599,1.37585,4.30051,1.67308,0.000333617,0.000333617,0.000333617
111,3148.07,0.89088,0.96359,1.09249,0.17643,0.24166,0.1504,0.12358,1.29179,5.07348,1.61362,0.000329035,0.000329035,0.000329035
